-4,-0.215,0.01052
-3.5,-0.157,0.0103
-3,-0.099,0.01004
-2.5,-0.04,0.00942
-2,0.019,0.00897
-1.5,0.078,0.00792
-1,0.137,0.00783
-0.5,0.196,0.00778
0,0.256,0.00778
0.5,0.315,0.00787
1,0.374,0.0081
1.5,0.433,0.00832
2,0.491,0.00852
2.5,0.55,0.00874
3,0.608,0.00897
3.5,0.666,0.00923
4,0.723,0.00948
4.5,0.779,0.00988
5,0.834,0.01047
5.5,0.888,0.01355
6,0.94,0.01414
6.5,0.99,0.01495
7,1.037,0.01562
7.5,1.08,0.01281
8,1.121,0.01331
8.5,1.158,0.01786
9,1.192,0.01869
9.5,1.222,0.01959
10,1.246,0.02076
